id,age,sex,year,va_home,hs_gpa,col_gpa,skipped,hrs_hw,major,fav_sub,schooltype,greek,clubs,sports,hrs_workout,hrs_ptjob,morning,hrs_slept,daily_meals,days_drink,drugs,relationship,eat_out,hrs_vgames,enjoy_college,politics,legalize_weed,support_abortion,restrict_guns,too_much_ineq,climate_change_real,defund_police,religion,sibs,fav_season,handedness,fired_gun,fav_music,hrs_music,countries_visited,age_married,intro_v_extro,cats_v_dogs,peak,hogwarts_house,superpower
1,19,Male,Freshman,Northern VA (DC Area),3.5999999,2,1,2,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",History,Public,No,1,0,0,0,No,7,2,0,No,Yes,0,2,3,4,2,1,3,2,1,5,Atheist or Agnostic,2,Fall,Right,No,Classic Rock,2,0,25,2,Both,High School,Hufflepuff,Super strength (like Captain America)
2,20,Male,Sophomore,Richmond Area,4.3000002,1.8,0.1,7,"Math or Natural Science (Physics, Chemistry, Biology, Math, CS, etc)",Science,Private,Yes,3,0,10,0,Yes,8,3,3,Yes,No,3,1,4,3,1,1,4,4,1,4,Christian,2,Fall,Ambidextrous,Yes,Alt Rock,3,0,23,4,Both,College,Gryffindor,Teleportation (30 second recharge time)
3,18,Female,Freshman,Other part of VA,3.8,1.6,1,3,"Math or Natural Science (Physics, Chemistry, Biology, Math, CS, etc)",Science,Public,No,0,0,4,0,No,10,2,3,No,No,3,0,2,3,2,3,3,3,3,4,Christian,0,Summer,Ambidextrous,Yes,Country or Folk,8,0,26,5,Both,High School,Don't know/Don't like Harry Potter,Teleportation (30 second recharge time)
4,19,Male,Sophomore,Other part of VA,3.5,3.0999999,0,.75,Business (Luter school),Math,Public,No,0,2,5,0,No,8,3,1,No,Yes,1,1,2,4,1,4,3,2,2,4,Christian,2,Summer,Right,Yes,Hiphop/rap,1.5,0,22,3,Dogs,College,Don't know/Don't like Harry Potter,Teleportation (30 second recharge time)
5,19,Male,Freshman,Northern VA (DC Area),3,2.5999999,0,3,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",Other,Private,Yes,2,0,6,18,No,7,2,2,No,No,0,0,2,4,1,3,3,3,1,5,Christian,1,Spring,Right,Yes,Hiphop/rap,6,0,0,3,Dogs,College,Don't know/Don't like Harry Potter,Super speed (like 1/2 the speed of the Flash and w/o the phasing and stuff)
6,19,Male,Freshman,Northern VA (DC Area),4.1999998,3.0799999,0.1,1,Business (Luter school),History,Public,Yes,1,0,6,10,Yes,7,2,2,Yes,No,0,6,2,2,3,3,2,3,2,4,Other,0,Winter,Right,No,Classic Rock,4,3,27,5,Dogs,College,Don't know/Don't like Harry Potter,Super speed (like 1/2 the speed of the Flash and w/o the phasing and stuff)
7,19,Female,Freshman,Northern VA (DC Area),4,4,0,14,"Arts or Humanities (English, Art, Music, History, etc)",Other,Public,No,0,0,1,5,No,6,2,0,,No,1,2,2,,,,,,1,,Christian,,Spring,Right,No,Classical,8,2,,1,Both,,Slytherin,Flight (the speed of the fastest bird)
8,19,Female,Freshman,Northern VA (DC Area),3.5999999,3,0,2.5,"Math or Natural Science (Physics, Chemistry, Biology, Math, CS, etc)",Math,Private,No,2,0,2,0,No,7,3,0,No,No,0,1,2,3,5,4,1,2,2,3,Christian,1,Summer,Right,No,Pop,4,15,27,1,Both,College,Don't know/Don't like Harry Potter,Flight (the speed of the fastest bird)
9,19,Male,Freshman,Northern VA (DC Area),3.6700001,2.2,0,6,Business (Luter school),Other,Public,No,4,0,5,0,No,7.5,2,2,Yes,No,3,0,1,3,1,1,2,4,1,3,Christian,1,Summer,Right,Yes,Pop,4,2,27,4,Dogs,College,Gryffindor,Teleportation (30 second recharge time)
10,19,Male,Freshman,Northern VA (DC Area),3.7,2.26,0,5,Business (Luter school),Math,Private,Yes,1,1,2,0,Yes,6,2,0,No,No,0,3,3,4,3,5,3,3,4,5,Christian,2,Summer,Right,Yes,Other,2,5,25,3,Both,College,Don't know/Don't like Harry Potter,Teleportation (30 second recharge time)
