st,year,unemp
AL,1970,4.7
AL,1971,5.2
AL,1972,4.7
AL,1973,3.9
AL,1974,5.5
AL,1975,7.7
AL,1976,6.8
AL,1977,7.4
AL,1978,6.3
AL,1979,7.1
AL,1980,8.8
AL,1981,11
AL,1982,14
AL,1983,14
AL,1984,11
AL,1985,8.9
AL,1986,9.8
AZ,1970,4.4
AZ,1971,4.7
AZ,1972,4.2
AZ,1973,4.1
AZ,1974,5.6
AZ,1975,12
AZ,1976,9.8
AZ,1977,8.2
AZ,1978,6.1
AZ,1979,5.1
AZ,1980,6.7
AZ,1981,6.1
AZ,1982,9.9
AZ,1983,9.1
AZ,1984,5
AZ,1985,6.5
AZ,1986,6.9
AR,1970,5
AR,1971,5.4
AR,1972,4.6
AR,1973,4.1
AR,1974,4.8
AR,1975,9.5
AR,1976,7.1
AR,1977,6.6
AR,1978,6.4
AR,1979,6.2
AR,1980,7.6
AR,1981,9.1
AR,1982,9.8
AR,1983,10
AR,1984,8.9
AR,1985,8.7
AR,1986,8.7
CA,1970,7.2
CA,1971,8.8
CA,1972,7.6
CA,1973,7
CA,1974,7.7
CA,1975,9.9
CA,1976,9.2
CA,1977,8.2
CA,1978,7.1
CA,1979,6.2
CA,1980,6.8
CA,1981,7.4
CA,1982,9.9
CA,1983,9.7
CA,1984,7.8
CA,1985,7.2
CA,1986,6.7
CO,1970,4.4
CO,1971,4
CO,1972,3.6
CO,1973,3.4
CO,1974,3.8
CO,1975,6.9
CO,1976,5.9
CO,1977,6.2
CO,1978,5.6
CO,1979,4.8
CO,1980,5.9
CO,1981,5.5
CO,1982,7.7
CO,1983,6.6
CO,1984,5.6
CO,1985,5.9
CO,1986,7.4
CT,1970,5.6
CT,1971,8.9
CT,1972,8.2
CT,1973,5.7
CT,1974,6.2
CT,1975,9.1
CT,1976,9.5
CT,1977,7
CT,1978,5.3
CT,1979,5.1
CT,1980,5.9
CT,1981,6.2
CT,1982,6.9
CT,1983,6
CT,1984,4.6
CT,1985,4.9
CT,1986,3.8
DE,1970,4.8
DE,1971,5.7
DE,1972,4.7
DE,1973,4.6
DE,1974,6
DE,1975,9.7
DE,1976,8.9
DE,1977,8.4
DE,1978,7.5
DE,1979,8
DE,1980,7.7
DE,1981,7.9
DE,1982,8.5
DE,1983,8.1
DE,1984,6.2
DE,1985,5.3
DE,1986,4.3
FL,1970,4.4
FL,1971,4.9
FL,1972,4.5
FL,1973,4.3
FL,1974,6.2
FL,1975,11
FL,1976,9
FL,1977,8.2
FL,1978,6.6
FL,1979,6
FL,1980,5.9
FL,1981,6.8
FL,1982,8.2
FL,1983,8.6
FL,1984,6.3
FL,1985,6
FL,1986,5.7
GA,1970,4.1
GA,1971,3.9
GA,1972,4.1
GA,1973,3.9
GA,1974,5
GA,1975,8.6
GA,1976,8.1
GA,1977,6.9
GA,1978,5.7
GA,1979,5.1
GA,1980,6.4
GA,1981,6.4
GA,1982,7.8
GA,1983,7.5
GA,1984,6
GA,1985,6.5
GA,1986,5.9
ID,1970,5.8
ID,1971,6.3
ID,1972,6.2
ID,1973,5.6
ID,1974,6
ID,1975,6.2
ID,1976,5.7
ID,1977,6.1
ID,1978,5.6
ID,1979,5.6
ID,1980,7.9
ID,1981,7.5
ID,1982,9.9
ID,1983,9.8
ID,1984,7.2
ID,1985,8
ID,1986,8.7
IL,1970,4.1
IL,1971,5.1
IL,1972,5.1
IL,1973,4.1
IL,1974,4.5
IL,1975,7.1
IL,1976,6.5
IL,1977,6.2
IL,1978,6
IL,1979,5.5
IL,1980,8.3
IL,1981,8.5
IL,1982,11
IL,1983,11
IL,1984,9.1
IL,1985,9
IL,1986,8.1
IN,1970,5
IN,1971,5.7
IN,1972,4.5
IN,1973,4.2
IN,1974,5.9
IN,1975,8.6
IN,1976,6.1
IN,1977,5.7
IN,1978,5.7
IN,1979,6.4
IN,1980,9.6
IN,1981,10
IN,1982,12
IN,1983,11
IN,1984,8.6
IN,1985,7.9
IN,1986,6.8
IA,1970,3.7
IA,1971,4.2
IA,1972,3.6
IA,1973,2.9
IA,1974,3
IA,1975,4.3
IA,1976,4
IA,1977,4
IA,1978,4
IA,1979,4.1
IA,1980,5.8
IA,1981,6.9
IA,1982,8.5
IA,1983,8.1
IA,1984,7
IA,1985,8
IA,1986,7
KS,1970,4.8
KS,1971,5.5
KS,1972,4
KS,1973,3.1
KS,1974,3.5
KS,1975,4.6
KS,1976,4.2
KS,1977,4.1
KS,1978,3
KS,1979,3.4
KS,1980,4.5
KS,1981,4.2
KS,1982,6.3
KS,1983,6.1
KS,1984,5.2
KS,1985,5
KS,1986,5.4
KY,1970,5
KY,1971,5.5
KY,1972,4.8
KY,1973,4.4
KY,1974,4.5
KY,1975,7.3
KY,1976,5.6
KY,1977,4.7
KY,1978,5.2
KY,1979,5.6
KY,1980,8
KY,1981,8.4
KY,1982,11
KY,1983,12
KY,1984,9.3
KY,1985,9.5
KY,1986,9.3
LA,1970,6.6
LA,1971,7
LA,1972,6.1
LA,1973,6
LA,1974,6.7
LA,1975,7.4
LA,1976,6.8
LA,1977,7
LA,1978,7
LA,1979,6.7
LA,1980,6.7
LA,1981,8.4
LA,1982,10
LA,1983,12
LA,1984,10
LA,1985,12
LA,1986,13
ME,1970,5.7
ME,1971,7.6
ME,1972,7
ME,1973,5.9
ME,1974,6.7
ME,1975,10
ME,1976,8.9
ME,1977,8.4
ME,1978,6.2
ME,1979,7.2
ME,1980,7.8
ME,1981,7.2
ME,1982,8.6
ME,1983,9
ME,1984,6.1
ME,1985,5.4
ME,1986,5.3
MD,1970,3.3
MD,1971,4.2
MD,1972,4.7
MD,1973,3.5
MD,1974,3.7
MD,1975,6.9
MD,1976,6.8
MD,1977,6.1
MD,1978,5.6
MD,1979,5.9
MD,1980,6.5
MD,1981,7.3
MD,1982,8.4
MD,1983,6.9
MD,1984,5.4
MD,1985,4.6
MD,1986,4.5
MA,1970,4.6
MA,1971,6.6
MA,1972,6.4
MA,1973,6.7
MA,1974,7.2
MA,1975,11
MA,1976,9.5
MA,1977,8.1
MA,1978,6.1
MA,1979,5.5
MA,1980,5.6
MA,1981,6.4
MA,1982,7.9
MA,1983,6.9
MA,1984,4.8
